Molecule,State,is_primary,conformer,energy,opt_success,no_imaginary,homo,lumo,homo_lumo_gap,dipole,max_positive_charge,max_negative_charge,charge_spread,avg_charge,crest_num_conformers,crest_energy_range,crest_energy,crest_population,excited_energy,excited_opt_success,excited_homo,excited_lumo,excited_homo_lumo_gap,excitation_energy_ev,gap_ev,energy_diff_from_neutral,homo_num,lumo_num,gap_calculated,conformational_flexibility,energy_diversity,charge_polarity,charge_intensity,has_nh2,has_oh,has_cn,has_me,has_f,is_ring,is_neutral,is_cation,is_triplet,is_primary_num,molecular_complexity,ring_count,has_5ring,has_3ring,has_7ring,has_in_group,has_out_group,has_both_groups,has_cn_alt,cn_count,has_nh2_alt,nh2_count,has_oh_alt,oh_count,has_me_alt,me_count,has_f_alt,f_count,has_sh,sh_count,has_bh2,bh2_count,has_cf3,cf3_count,has_no2,no2_count,has_ome,ome_count,has_nme2,nme2_count,has_nph3,nph3_count,has_nn+,nn+_count,total_substituents,structural_complexity,estimated_size,estimated_polarity,estimated_hydrophobicity,electron_donating_effect,electron_withdrawing_effect,net_electronic_effect,estimated_conjugation,planarity_index,homo_polarity,lumo_electronic_effect,gap_conjugation,energy_per_size,dipole_planarity,s1_t1_gap_ev,is_negative_gap
5ring_nh2_3ring_NO,neutral,True,conf_9,-677.2626903,True,True,-5.17424771,-2.450930798,2.7233169120000005,,0.234309,-0.254228,0.488537,-1.0000000000010001e-07,,,,,-677.2427084,True,-4.773423788,-2.450930798,2.32249299,0.5437354736616766,,0.0,-5.17424771,-2.450930798,2.7233169120000005,,,0.488537,0.488537,1,0,0,0,0,1,1,0,0,1,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.5,3.0,-2.0,2.0,0.1,1.9,9.0,4.0,-15.522743130000002,-4.6567685162,0.2723314188685812,-71.29080950526316,0.0,0.6169950736,0
5ring_nh2_3ring_NO,cation,True,conf_7,-677.0873532,True,True,-6.082564242,-3.109446678,2.9731175640000003,,,,,,11.0,4593.37,2296.06,0.0,,,,,,,,0.1753370999999788,-6.082564242,-3.109446678,2.9731175640000003,2.4849066497880004,8.432586919840452,,,1,0,0,0,0,1,0,1,0,1,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.5,3.0,-2.0,2.0,0.1,1.9,9.0,4.0,-18.247692726,-5.907948688199999,0.2973114590885409,-71.27235296842106,0.0,0.6919352692,0
5ring_nh2_3ring_NO,triplet,True,conf_1,-677.2321794,True,True,-4.490697342000001,-1.533634504,2.9570628380000006,,,,,,18.0,4674.31,0.0,100.0,,,,,,,0.8302443042622086,0.0305109000000811,-4.490697342000001,-1.533634504,2.9570628380000006,2.9444389791664403,8.450050749684793,,,1,0,0,0,0,1,0,0,1,1,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.5,3.0,-2.0,2.0,0.1,1.9,9.0,4.0,-13.472092026000002,-2.9139055576,0.295705988094012,-71.28759783157894,0.0,0.6871188514000002,0
5ring_me_3ring_cn_both,neutral,True,conf_2,-649.646185,True,True,-5.259419392000001,-3.445235354,1.8141840380000005,,0.201107,-0.280359,0.481466,7.142857143174058e-08,2.0,298.07,298.07,0.0,-649.621140552,False,-5.212071556,-3.445235354,1.7668362019999997,0.681494492304567,,0.0,-5.259419392000001,-3.445235354,1.814184038000001,1.0986122886681098,5.700677659702722,0.481466,0.481466,0,0,1,1,0,1,1,0,0,1,3,2,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,3.7,0.0,0.5,3.0,-2.5,10.0,4.0,-19.4598517504,8.613088385,0.1649256717039349,-59.05874409090909,0.0,0.3442552114000001,0
5ring_me_3ring_cn_both,cation,True,conf_2,-649.471291,True,True,-6.54978398,-3.775853864,2.7739301160000003,,,,,,2.0,180.72,180.72,0.0,,,,,,,,0.1748939999999947,-6.54978398,-3.775853864,2.773930116,1.0986122886681098,5.202467040891203,,,0,0,1,1,0,1,0,1,0,1,3,2,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,3.7,0.0,0.5,3.0,-2.5,10.0,4.0,-24.234200726,9.43963466,0.2521752358406947,-59.04284463636363,0.0,0.6321790348,0
5ring_me_3ring_cn_both,triplet,True,conf_1,-649.6289459,True,True,-4.748661414,-2.10208065,2.6465807640000003,,,,,,3.0,379.02,0.0,100.0,,,,,,,0.4691000457395485,0.0172390999999834,-4.748661414,-2.10208065,2.646580764,1.3862943611198906,5.940223882914386,,,0,0,1,1,0,1,0,0,1,1,3,2,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11.0,3.7,0.0,0.5,3.0,-2.5,10.0,4.0,-17.5700472318,5.255201625,0.2405980325472431,-59.0571769,0.0,0.5939742292000001,0
5ring_cn_both,neutral,True,conf_1,-676.8653891,True,True,-6.948158876000001,-2.928218754,4.019940122000001,,0.167341,-0.270376,0.437717,5.555555555406914e-08,1.0,0.0,0.0,100.0,-676.8552631,True,-6.66951414,-2.928218754,3.741295386,0.2755426364003768,,0.0,-6.948158876000001,-2.928218754,4.019940122000001,0.6931471805599453,0.0,0.437717,0.437717,0,0,1,0,0,1,1,0,0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.0,3.5,-1.0,0.0,3.0,-3.0,7.0,2.0,-24.318556066000003,8.784656262,0.5024918871351413,-96.69505558571429,0.0,1.0059820366000003,0
5ring_cn_both,cation,True,conf_1,-676.6233499,True,True,-8.255666646,-3.88442735,4.371239296000001,,,,,,1.0,0.0,0.0,100.0,,,,,,,,0.242039200000022,-8.255666646,-3.88442735,4.371239296,0.6931471805599453,0.0,,,0,0,1,0,0,1,0,1,0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.0,3.5,-1.0,0.0,3.0,-3.0,7.0,2.0,-28.894833261,11.65328205,0.5464042289947137,-96.66047855714284,0.0,1.1113717888,0
5ring_cn_both,triplet,True,conf_1,-676.7961639,True,False,-5.2809163980000005,-4.216134316,1.064782082,,,,,,1.0,0.0,0.0,100.0,,,,,,,1.8837146072801447,0.0692252000000053,-5.2809163980000005,-4.216134316,1.064782082000001,0.6931471805599453,0.0,,,0,0,1,0,0,1,0,0,1,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.0,3.5,-1.0,0.0,3.0,-3.0,7.0,2.0,-18.483207393,12.648402948,0.1330975938780077,-96.68516627142856,0.0,0.11943462459999998,0
5ring_oh_both,neutral,True,conf_2,-608.79809,True,True,-4.2857955,-0.737156826,3.548638674,,0.219743,-0.272172,0.491915,-5.555555555869508e-08,6.0,4390.05,1916.41,0.0,-608.733411897,False,-4.300489656000001,-0.737156826,3.56333283,1.7599817319743538,,0.0,-4.2857955,-0.737156826,3.548638674,1.9459101490553128,8.387323657424695,0.491915,0.491915,0,1,0,0,0,1,1,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.0,3.0,-2.0,1.0,0.1,0.9,6.0,2.0,-12.8573865,-0.6634411434,0.5069476577890603,-101.46634833333331,0.0,0.8645916022,0
